a-descriptionID,type,title,text,reply_list,reply_list2,reply_list3
d11012,text,,看著Judy期盼的眼神，您總覺得好像難以拒絕他熱切的期盼...,,,
d11013,confirm,,您決定...,r11006,r11007,
d11014,text,,"【Judy】：
真是太好啦！果然是熱心的勇者～
那我來唸給您聽！",,,
d11015,text,,說完，Judy便唸出了一個英文單字...,,,
d11100,text,,"【Judy】：
哇！好像就是這樣寫欸！果然是最厲害的勇者～
終於可以好好記錄下來了！",,,
d11101,text,,剛才還鬱鬱寡歡的 Judy馬上破涕為笑，看來您真的幫了他許多呢！,,,
d11102,text,,"【Judy】：
雖然我只是一個小小學徒、身上沒有什麼值錢的東西，但為了感謝勇者，請您收下我昨天在河邊撿的小玉石吧！這麼漂亮的東西我平常可是捨不得送人的呢！",,,
d11103,confirm,,您決定...,r11100,r11101,
d11104,text,,Judy匆忙地將一枚閃著亮麗色澤的綠色水晶遞給您，在陽光的照射下，水晶散發出一種無可取代的魔幻感。,,,
d11105,image,水晶,https://dlms.iiiedu.org.tw/eng/img/d11105.png,,,
d11106,text,,"【Silas】：
勇者$username！就是牠！",,,
d11107,confirm,,您說...,r11102,r11103,
d11108,text,,"【Silas】：
是的！我一定不會認錯！這就是我們在找的綠水晶。",,,
d11109,text,,"【Judy】：
原來這是你們的任務內容啊？真開心我也幫到你們了～",,,
d11110,confirm,,您說...,r11104,r11105,
d11111,text,,"【Silas】：
真是太好了！
不過Judy，因為我們時間有限，勇者 $username 和我還是趕緊上路、繼續尋找任務好了！",,,
d11112,text,,"【Judy】：
好呀！我也繼續複習了，祝你們任務順利！",,,
d11200,text,,"【Judy】：
疑...怎麼覺得有點奇怪...",,,
d11300,text,,"【Judy】：
好像不是欸... 
沒關係，我再去找其他人幫忙，你們繼續進行任務吧！",,,
d12000,text,,身處於玫瑰和薔薇花海中，若有似無的花香在這裡蔓延，您與Silas在領地中著名的花園內低頭尋找著綠水晶的下落。,,,
d12001,text,,"這數公頃大的花園是由領主夫人所建，裡頭種植著夫人最喜歡的玫瑰與薔薇。無邊無際的紫紅色與綠色綿延不斷，漫步其中著實是一種享受。
葉片上的露水在枝葉中閃閃發光，隨著吹進花園的微風小幅度地搖曳著。除了上層豔麗的花瓣，要在這片綠意間尋找綠水晶，無疑是件難事。",,,
d12002,text,,您和Silas分頭在花園中穿梭著，任何可能是綠水晶的物品都不放過。但過了不久，您們仍一無所獲。,,,
d12003,text,,"【？？？】：
你們在找什麼？",,,
d12004,text,,"低沉的聲音從後方傳來，您和Silas倏地回過頭。
原先無其他外人的花園中，一名騎士與他的馬安靜地停在您約十公尺處。十分驚奇的是，這名騎士脖子以上空無一物。",,,
d12005,confirm,,您想說...,r12000,r12001,
d12006,text,,這名無頭騎士頓了一下，他騎在高大的黑馬上，一點也沒有下馬的想法。,,,
d12007,text,,"【Silas】：
Dullahan您好，我是Ariel的侍從之一，我叫Silas。",,,
d12008,text,,"【Dullahan】：
嗯我看過你，Silas。我是Dullahan，是這個花園的主要照顧者。
你們是在找什麼嗎？",,,
d12009,text,,"【Silas】：
我們正在尋找保護領地農作物生長的綠水晶，我們要把散落在各地的水晶找回來。",,,
d12010,text,,Dullahan 一怔。,,,
d12011,text,,"【Dullahan】：
前幾日我有聽說經過花園的旅人提及，朝某一個路牌往前走一段的路邊有著有一個很不一般的綠色礦石。但我不是很確定那是不是你們在找的。",,,
d12012,confirm,,您想說...,r12002,r12003,
d12013,text,,"【Silas】：
我也覺得有點像綠水晶。",,,
d12014,confirm,,您想說...,r12004,r12005,
d12015,text,,Dullahan的脖子微微地動了一下，說道：,,,
d12016,text,,"【Dullahan】：
我聽那位旅人說，應該是要往那個方向走——",,,
d12100,text,,下定決心後，您與Silas朝著那個牌子所指的方向前行。一旁的玫瑰和薔薇的芬芳不斷的散發，香氣似乎越來越濃郁。,,,
d12101,text,,在沿著道路前行將近一百公尺後，Silas扯了扯您的衣角。,,,
d12102,text,,您定睛一看，右前方的花叢陰影中有一絲絲亮光。,,,
d12103,confirm,,您想說...,r12100,r12101,
d12104,text,,"【Silas】：
呼～",,,
d12105,text,,您決定...,r12102,r12103,
d12106,text,,"您與Silas看著眼前的水晶，舒心地吐了口氣。
隨後，您們朝著剛才前來的方向走回去。",,,
d12107,text,,Dullahan還停留在原地。或許是聽到了您們的步伐和泥土之間發出的聲音，他向您們開口詢問。,,,
d12108,text,,"【Dullahan】：
找到了嗎？",,,
d12109,confirm,,您想說...,r12104,r12105,
d12110,text,,"【Dullahan】：
那就好、不用謝，要謝就謝那位不知名的旅人吧！我僅是傳話者罷了。",,,
d12111,text,,"Dullahan的脖子微微前傾，彷彿是他那消失的頭顱在頷首。
他不等您們作出任何回應、也不再多說任何一句，隨即轉過身，身影在花海中漸行漸遠。",,,
d12200,text,,您和Silas朝著指標的方向前進，但向前走了十分鐘仍不見綠水晶的蹤跡。,,,
d12201,text,,您們回到無頭騎士的面前，面色不佳。,,,
d12202,text,,"【Dullahan】：
找到了嗎？",,,
d12203,confirm,,您想說...,r12200,r12201,
d12204,text,,"【Dullahan】：
不然我再念一次，你檢查一下剛剛是不是走錯路。",,,
d12300,text,,您和Silas朝著指標的方向前進，但向前走了十分鐘仍不見綠水晶的蹤跡。,,,
d12301,text,,您們回到無頭騎士的面前，一臉困惑。,,,
d12302,text,,"【Dullahan】：
還是沒看到嗎？",,,
d12303,text,,Silas抓抓頭，說道：,,,
d12304,text,,"【Silas】：
是的，Dullahan，連發亮的東西都沒看著。",,,
d12305,text,,"【Dullahan】：
那就將這個故事當成是旅人的奇幻軼事吧！或許真的有，但也可能已經離開了。",,,
d12306,confirm,,您覺得...,r12300,r12301,
d12307,text,,Dullahan輕輕一笑，沒再說什麼解釋先前的那句話。,,,
d12308,text,,"【Dullahan】：
花園沒有，祝你們能在其他地方找到了。",,,
d12309,text,,語畢，他的身影穿越玫瑰與薔薇的花叢中，緩慢消失在視野深處。,,,
d13000,text,,"怪物領地這紅磚砌成的城牆大概就四、五米高而已，說高不高、說低不低。即使農作生長不利，常春藤仍張狂地攀附在城牆上，牆角的雜草也長得異常茂盛。
您與Silas沿著城牆緩慢地走著，微風輕拂過身側。",,,
d13001,text,,"【Silas】：
如果領地內的農作物都能像這裡的雜草一樣生長如此茂密就好了。",,,
d13002,confirm,,您想說...,r13000,r13001,
d13003,text,,"【Silas】：
感覺好像有可能欸...那真的要認真找了！",,,
d13004,text,,"【？？？】：
唧唧——",,,
d13005,text,,"一個洪亮婉轉的鳥鳴在數公尺外的城牆上響起。
您定睛一看，一只嬌小的蜂鳥頂著招搖的彩色羽毛，在藍天的襯托下搖曳生姿。",,,
d13006,confirm,,您覺得牠...,r13002,r13003,
d13007,text,,"【Silas】：
真的很漂亮，那是我們領地中著名的魔法七彩蜂鳥。飛行速度很快，外觀也非常亮麗，更厲害的是牠具有吸引有魔力的特質喔！",,,
d13008,text,,"蜂鳥：
唧——",,,
d13009,text,,說時遲那時快，那隻色彩鮮豔的蜂鳥拍了拍翅膀，豐滿的羽翼下突然發出綠色的光芒...,,,
d13010,confirm,,您想說...,r13004,r13005,
d13011,text,,Silas從歡欣地介紹蜂鳥看了看剛起飛的那隻蜂鳥，倏地瞪大了眼。,,,
d13012,text,,"【Silas】：
對、對，那是！",,,
d13013,text,,您決定...,r13006,r13007,
d13014,text,,"【Silas】：
勇者你等等！您有沒有看到環繞在牠周圍的字？把牠叫住就可以讓牠停下來了！",,,
d13015,text,,您看了一下蜂鳥，牠的身邊浮現了淡淡的字跡...,,,
d13100,text,,"您一說完，那隻七彩蜂鳥動作一滯，隨即停下飛行的動作、落回地上。
牠回過頭、眨了眨眼，明亮的眼睛活潑動人。",,,
d13101,text,,Silas放鬆地吐了一口氣，隨即小心翼翼地向七彩蜂鳥走去。他蹲下身子，輕拂蜂鳥的羽翼，並輕輕翻開藏有綠水晶的羽翼。,,,
d13102,text,,您覺得...,r13100,r13101,
d13103,text,,"【Silas】：
幸好您在牠飛走前還來得及喊他的名字，真的太好了！",,,
d13200,text,,"【Silas】：
咦，他沒有停下來？是不是剛剛沒有念正確？",,,
d13300,text,,"【Silas】：
啊...",,,
d13301,text,,儘管您與Silas跟在蜂鳥的後面邊追邊喊，那隻蜂鳥卻帶著那枚綠水晶與你們的遺憾，展翅離去。,,,
d14000,text,,您與 Silas 仔細地在領地周圍尋找綠水晶，走到了領地中最美麗的地方——「醉月湖」。,,,
d14001,text,,雖然人民處於水深火熱當中，依然有閒散的人們在湖中泛舟，也有情侶繞著湖邊欣賞湖景。陽光灑在湖水中，映照著眾人的臉龐。,,,
d14002,text,,望向波光粼粼的湖水，您覺得歲月靜好。雖然處在危急的時刻，但人們依然追求著、嚮往著美好的事物。,,,
d14003,confirm,,此刻，您：,r14000,r14001,
d14004,text,,突然，湖中央冒出了一個水上舞台，只見幾位美麗的人魚手上彈著豎琴，圍繞著一位體態優雅的人魚，緩緩地唱起歌。,,,
d14005,text,,"【Silas】：
這是我們領地內最著名的人魚樂隊，其中領唱者 Siren 更是遠近馳名。她的歌聲有著安定人心的作用，舒緩我們的情緒，使我們忘卻痛苦。",,,
d14006,text,,Siren 的歌聲悅耳動聽，讓湖邊的人不知不覺向她靠攏。您與 Silas 也同樣被 Siren 所吸引，於是想要到湖中央去，順道在湖中找尋綠水晶。,,,
d14007,text,,然而，Siren 的歌聲也同時有催眠的作用，聽得越久，越讓人昏昏欲睡。就在此刻，似乎只有您聽見 Siren 歌聲背後的一些聽不清，道不明的話語。,,,
d14008,confirm,,您想要：,r14002,r14003,
d14009,text,,"【Siren】：
勇者啊勇者，如果您想要從我這邊得到什麼，請您務必聽清……",,,
d14010,text,,您仔細聽了聽Siren 所說的話，發現到原來背後隱藏著這樣的訊息……,,,
d14100,text,,您聽懂了 Siren 背後所說的話，腦袋一陣清醒。,,,
d14101,text,,Siren 向您露出讚許的眼光，並取出了她手上的戒指，把牠交到您手上——原來戒指上，就有著您正在找的綠水晶。,,,
d14102,text,,您帶著依然迷糊的 Silas 回到岸邊，在 Siren 歌聲逐漸遠去後，Silas 猛然清醒。,,,
d14103,text,,"【Silas】：
咦？勇者 $username ，您什麼時候取得這塊綠水晶的呢？",,,
d14104,text,,您微笑不語，這是您與 Siren 之間的秘密。,,,
d14200,text,,"【Siren】：
勇者啊勇者，請專心傾聽，機不可失，失不再來……",,,
d14201,confirm,,您打算：,r14200,r14201,
d14202,text,,Siren 的歌聲再度響起，您又陷入了魔幻的氛圍當中，企圖再仔細聽多一次……,,,
d14300,text,,您已竭盡所能，然而卻依然聽不清楚 Siren 歌聲背後的話語。,,,
d14301,text,,您與 Silas 一路漂到岸邊，Siren 的歌聲逐漸遠去，您與 Silas 逐漸清醒。,,,
d14302,confirm,,您感到：,r14300,r14301,
d14303,text,,"【Silas】：
呼，剛剛好像睡了一場好覺，勇者 $username 您還好嗎？",,,
d14304,text,,您搖了搖頭，與 Silas 一同朝著下一個目的地出發。,,,
d15000,text,,"經過您與Silas 的討論後，您們覺得綠水晶有可能已遺失在領地外。
您們望向遠方的深山，滿懷希望地踏上征途。",,,
d15001,text,,深山中荊棘密布，您不畏困難地大步向前，披荊斬棘。然而，深山內泥濘滿地，使您行動愈加不便；高聳的樹林遮蔽了陽光，讓您無法輕易分辨方向；加上 Silas 膽小內向，讓您積極尋找綠水晶的同時，不得不分心照顧他，安慰他。,,,
d15002,text,,突然，您聽見了「撲通」一聲。,,,
d15003,text,,"【Silas】：
啊啊啊啊!!! 勇者 $username 救命啊！",,,
d15004,text,,"【？？？】：
嘎嘎嘎嘎，終於有人掉入了我的陷阱！",,,
d15005,text,,您轉過頭來，看見一只綠色的小妖精正笑嘻嘻地看著你們，手上正拿著明晃晃的綠寶石，正是您遍尋不獲的綠水晶。,,,
d15006,text,,"【Silas】：
他是我們領地內的搗蛋鬼 Gremlin，專門愛捉弄人和開玩笑！勇者 $username 您先別管我，先把綠水晶拿到手！",,,
d15007,confirm,,您…,r15000,r15001,
d15008,text,,"【Gremlin】：
沒用的，陷阱內有嚴密的防護層，除非你有更為強大的咒語來破除陷阱，要不然你永遠都救不到他，更不可能從我手上拿到水晶！水晶是我的！",,,
d15009,confirm,,您決定...,r15002,r15003,
d15010,text,,"【Gremlin】：
好不容易有人來陪我玩了，你就慢慢地打破陷阱吧！我先去把水晶藏起來咯嘻嘻嘻……",,,
d15011,text,,陷阱中有數道條紋，逐漸形成了一個中文字，這個字的意思是…,,,
d15100,text,,防護層逐漸被破壞，Gremlin 頓時覺得大難臨頭。,,,
d15101,text,,"【Gremlin】：
勇者 $username ，你、你破壞了我的玩具，給我記著！",,,
d15102,text,,Gremlin 邊說邊跑，連綠水晶都不顧，驚慌失措地逃走了。,,,
d15103,text,,"【Silas】：
勇者 $username 您真厲害！這就是我們想要找的綠水晶啊！感謝您救了我！",,,
d15104,confirm,,您…,r15100,r15101,
d15105,text,,"【Silas】：
走吧，我們繼續去尋找下一個綠水晶！",,,
d15200,text,,"【Gremlin】：
MUAHAHAHA，我感覺防護層越來越堅固了！你是不是想要把 Silas 一直困在這邊啊？",,,
d15201,confirm,,您想說…,r15200,r15201,
d15202,text,,"【Silas】：
勇者 $username 沒關係，您慢慢想，咒語是不是另外一個意思？",,,
d15300,text,,"【Gremlin】：
哈哈哈，看來你的法力不夠強啊！這樣都不好玩的，我走啦拜拜！",,,
d15301,text,,Gremlin 把陷阱的咒語去掉，把Silas 放出來，但也帶著綠水晶離開了。,,,
d15302,confirm,,您覺得…,r15300,r15301,
d15303,text,,"【Silas】：
沒關係，勇者 $username 振作起來！接下來還有機會能夠找到綠水晶！我們一起加油吧！",,,
d16000,text,,時間緊迫，您與 Silas 十分緊張地穿梭在領主的城堡當中，就連一磚一瓦都不放過，恨不得把城堡都反轉過來。,,,
d16001,text,,在仔細敲打著牆上的磚頭時，您聽到了牆後傳來一陣回音。,,,
d16002,text,,"【Silas】：
咦？難道牆後有一條通道？",,,
d16003,text,,您與 Silas 正研究著該如何走進這條通道時，突然裡面傳來細微的哭聲。,,,
d16004,confirm,,您決定：,r16000,r16001,
d16005,text,,牆上的磚頭猶如被施了神奇的魔法，「轟隆隆」地朝外轉開了，露出了裡面的一條幽靜的小通道，而在通道的盡頭坐著一個半透明的生物。,,,
d16006,text,,"【Silas】：
這不是我們領地內最可愛的愛哭鬼 Mellow 嗎？你怎麼坐在這裡啊？",,,
d16007,text,,"【Mellow】：
嗚……嗚嗚嗚……",,,
d16008,confirm,,您：,r16002,r16003,
d16009,text,,"【Mellow】：
我爸爸把我的房間鎖上了，留下了一封信，但我看不懂，進不去我的房間……嗚嗚嗚……",,,
d16010,text,,Silas 把插在門縫的信抽出，看了看上面寫的文字。,,,
d16011,text,,"【Silas】：
這個我也看不懂耶，勇者 $username ，您能夠幫幫她嗎？",,,
d16012,text,,您接過那一張紙，信中呈現的是……,,,
d16100,text,,「叮鈴」！「嘎噠」！,,,
d16101,text,,伴隨著響亮的鈴聲，房門也自然地開啟。Mellow 不再哭泣，高興地在房間裡飄蕩。,,,
d16102,text,,"【Mellow】：
啊對也，我忘了我能夠穿牆，我爸應該是不想讓其他人進來，才放這個關卡……",,,
d16103,text,,您往房裡四下一看，發現桌上正放著一個晶瑩剔透的綠水晶，正閃閃發光。,,,
d16104,text,,"【Mellow】：
對了，我爸把門鎖上，正是為了要保護這塊水晶，不被人偷走！勇者 $username ，您能夠把這塊水晶交給領主大人嗎？",,,
d16105,confirm,,您說道：,r16100,r16101,
d16106,text,,您與 Silas 把珍貴的綠水晶收好，留下興高采烈的 Mellow，繼續前往下一個目的地。,,,
d16200,text,,房門發出了猶如生鏽般的「嘎吱嘎吱」聲，但門始終未開。,,,
d16201,text,,"【Mellow】：
怎麼辦怎麼辦，我好像忘了很重要的一個東西，我很急著要進入房間……嗚嗚嗚……",,,
d16202,text,,Mellow 開始嚎啕大哭，您怎麼勸都勸不住。,,,
d16203,text,,"【Silas】：
勇者 $username ，要不然您再試試看多解一次，讓她能趕快進入房間？",,,
d16300,text,,「喀琅」！房門發出了沉重的鎖門聲，通道也開始緩緩關閉。,,,
d16301,text,,"【Silas】：
糟糕！勇者 $username ，我們先趕快跑吧，要不然就會被困在這邊！",,,
d16302,text,,此刻的您決定：,r16300,r16301,
d16303,text,,通道已幾乎完全關閉，Silas 拉著您趕忙離開通道，留下依然在哭泣的 Mellow，等待著她父親的歸來。,,,
d17000,text,,您與 Silas 分析了貪吃鬼的逃跑路線，認為他很有可能是從城堡的地底離開的，因此您與Silas趕緊到城堡內的地下道去探個究竟。,,,
d17001,text,,由於鮮少有人進入，地下道內充斥著濃厚的潮濕味以及淡淡的霉味。看著周圍泛黃的牆壁，踩在濕漉漉的地板，聽著滴答的水聲，感受著周圍陰森的風，您不禁缩了缩肩膀。,,,
d17002,text,,突然，您聽見了「啪嗒，啪嗒」的聲音，轉角處似乎有巨大的影子，正緩緩地向你走來。,,,
d17003,text,,您與 Silas 踩著緩慢的腳步走到轉角處，看見一個人頭、獅身、有著巨大翅膀的怪物在瞪著你。,,,
d17004,confirm,,您：,r17000,r17001,
d17005,text,,"【Silas】：
勇者 $username ，這是我們領主養的貓，牠叫 Sphinx。",,,
d17006,text,,"【Sphinx】：
喵。你可以叫我 Sphinx 大人。",,,
d17007,confirm,,您：,r17002,r17003,
d17008,text,,"【Silas】：
Sphinx，你五天前有看過貪吃鬼經過這裡嗎？",,,
d17009,text,,"【Sphinx】：
有哦。我知道他在逃跑。",,,
d17010,text,,"【Silas】：
你為什麼沒有抓住他？",,,
d17011,text,,"【Sphinx】：
因為我太懶了。而且我只是一只貓。喵。",,,
d17012,text,,您下定決心，想要趕快離開這只無聊的貓時，突然看到牠正在把玩的綠色小物。您暗示 Silas，請他幫忙看一看，是不是你們要找的綠水晶。,,,
d17013,text,,"【Silas】：
Sphinx 大人，可以給我們看看你爪下的玩具嗎？",,,
d17014,text,,"【Sphinx】：
不可以。",,,
